,geoid,dperim,dpperim,darea,dparea
0,0102,919,23024,34490,682820
1,0105,629,10598,32943,682819
2,0101,698,10134,35370,682820
3,0107,1587,39601,38237,682820
4,0106,1336,33529,29709,682819
5,0103,907,22465,38023,682819
6,0104,1147,19373,43494,682819
7,0200,472,271,45292,710231
8,0401,1260,14645,90570,710224
9,0406,464,24747,13139,710224
10,0407,401,32244,10134,710224
11,0403,905,32519,24073,710224
12,0408,515,24152,13061,710225
13,0404,1436,16707,48774,710224
14,0409,603,55135,10023,710224
15,0405,343,20879,13326,710224
16,0402,466,23812,18566,710224
17,0501,1214,11372,61842,728765
18,0504,1407,14486,66769,729002
19,0503,966,16366,29726,728959
20,0502,599,11831,27874,729192
21,0641,381,29543,7613,702904
22,0634,411,33485,5196,702904
23,0650,747,61960,13137,702905
24,0647,543,50917,8136,702905
25,0638,572,51450,8436,702905
26,0616,556,14040,15675,702904
27,0639,608,52240,8256,702905
28,0602,643,7092,32905,702905
29,0601,1074,7747,56901,702905
30,0623,1267,23606,33001,702904
31,0625,584,24470,13693,702904
32,0644,542,45381,7758,702904
33,0636,394,10497,17411,702905
34,0635,391,44037,5892,702905
35,0617,396,38229,8748,702904
36,0618,594,35261,11855,702906
37,0606,378,28276,10605,702905
38,0605,599,14984,14834,702905
39,0628,584,44839,7226,702904
40,0645,397,25851,8847,702906
41,0604,728,13453,27526,702906
42,0653,494,57406,7899,702904
43,0622,590,23286,13630,702905
44,0610,343,10043,12035,702905
45,0642,611,38358,9984,702906
46,0629,351,28319,4771,702905
47,0619,470,31140,7429,702904
48,0637,448,49987,6368,702904
49,0609,350,15402,13434,702904
50,0649,479,35670,9993,702906
51,0603,961,13945,24472,702906
52,0614,356,26302,8375,702905
53,0615,302,17594,10878,702904
54,0631,601,62636,8195,702905
55,0627,666,36912,8641,702905
56,0607,320,29479,8552,702904
57,0613,211,11851,11534,702906
58,0621,1065,26791,26314,702904
59,0640,531,59375,6122,702904
60,0632,552,41669,8379,702905
61,0608,962,25087,42762,702905
62,0646,403,32996,6492,702906
63,0620,372,13194,17195,702906
64,0624,510,5299,22548,702904
65,0633,701,52909,10339,702904
66,0643,471,46724,7574,702904
67,0648,437,32898,10295,702906
68,0611,403,15790,12279,702906
69,0630,407,47249,6443,702904
70,0652,439,32716,8717,702904
71,0612,172,18379,6140,702905
72,0626,349,15750,12942,702905
73,0651,630,32427,15763,702906
74,0801,688,66103,12967,718457
75,0804,982,14482,44232,718456
76,0806,714,42102,11695,718456
77,0802,843,21465,28764,718457
78,0807,610,27276,13839,718456
79,0803,862,4485,61489,718457
80,0805,318,6335,28076,718457
81,0904,378,22487,11499,714819
82,0905,779,49274,14157,714820
83,0901,616,39440,11786,714820
84,09ZZ,81,0,91,0
85,0903,489,36708,11509,714819
86,0902,511,19896,18536,714819
87,1000,412,14593,24115,897934
88,1198,257,22649,6507,601723
89,1204,878,50340,13197,696345
90,1224,409,36790,10523,696345
91,1220,946,80249,11329,696345
92,1213,261,11534,16998,696345
93,1210,896,61027,21721,696345
94,1202,402,4447,37084,696345
95,1201,371,3024,27822,696345
96,1212,358,42004,12817,696344
97,1225,596,37388,11124,696344
98,1211,446,19111,28227,696345
99,1207,475,34606,13177,696345
100,1222,803,57230,11426,696345
101,1226,464,25006,14308,696345
102,1215,496,38611,12914,696345
103,1206,423,14608,21962,696345
104,1209,471,41609,13284,696345
105,1203,723,28660,32979,696345
106,1217,907,32945,33675,696344
107,1221,311,40337,6793,696345
108,1219,317,16669,20880,696345
109,1216,192,5591,19653,696345
110,1218,292,31072,18537,696344
111,1227,501,28658,12390,696345
112,1205,1773,104848,18189,696345
113,1208,189,5422,19073,696344
114,1214,494,47720,15493,696345
115,1223,345,28853,8906,696345
116,1304,471,59677,8234,691976
117,1305,379,49077,10910,691976
118,1306,418,73120,7241,691975
119,1301,691,8998,36917,691974
120,1314,697,35848,21770,691974
121,1312,798,14323,34718,691975
122,1311,630,54187,12677,691975
123,1313,625,63115,9890,691976
124,1302,845,25839,34130,691976
125,1303,814,34531,20258,691974
126,1309,723,22180,28058,691975
127,1308,1084,26281,34108,691976
128,1310,831,54336,25574,691976
129,1307,367,64116,6601,691975
130,1501,120,27418,5659,680496
131,1502,230,3176,19357,679805
132,1602,854,9077,81762,783450
133,1601,1024,10932,68080,784132
134,1706,1204,76710,14855,712813
135,1709,725,59212,12186,712813
136,1710,744,45618,13676,712813
137,1703,1161,65330,14819,712813
138,1713,1313,27451,36177,712813
139,1712,818,11210,40955,712813
140,1701,1209,57630,15914,712813
141,17ZZ,93,0,102,0
142,1708,823,70661,11448,712812
143,1707,1229,75623,13805,712812
144,1718,1404,22806,48553,712813
145,1704,1378,65619,11011,712813
146,1702,729,21866,20155,712813
147,1716,1299,20907,43447,712813
148,1714,1346,54487,20994,712813
149,1705,1169,77282,12700,712813
150,1715,1369,15665,69222,712813
151,1711,877,52661,12371,712813
152,1717,1155,28413,39164,712813
153,1801,280,9331,20034,720422
154,1809,657,17908,28621,720422
155,1802,621,17551,35877,720423
156,1808,647,7619,44738,720422
157,1803,557,8987,28418,720423
158,1804,793,15313,35379,720422
159,1805,634,31610,21012,720423
160,1807,363,39160,13124,720423
161,1806,742,14345,39868,720422
162,1902,813,4114,50161,761624
163,1904,975,5497,78336,761571
164,1903,644,3638,40794,761612
165,1901,929,5506,46716,761548
166,2004,764,1916,45733,713281
167,2003,334,8049,14801,713287
168,2001,1416,3405,114282,713278
169,2002,1034,6134,63784,713272
170,2102,1073,27776,26734,723137
171,2103,208,16925,12279,723171
172,2101,1399,17964,43952,723178
173,2105,820,20614,36746,723228
174,2104,752,20716,22198,723450
175,2106,607,15820,19763,723203
176,2204,1144,17487,46764,755605
177,2206,1264,41024,19472,755607
178,2203,454,9698,31234,755596
179,2205,1207,28648,47105,755581
180,2202,1397,43090,27155,755538
181,2201,947,31551,32717,755445
182,2301,591,16915,23749,664180
183,2302,809,13939,45769,664181
184,2408,873,77450,13107,721514
185,2403,1686,160047,12652,720094
186,2402,1168,95074,15190,723447
187,2401,1158,45275,39022,722650
188,2404,915,100425,11085,720065
189,2406,879,44461,20355,728448
190,2405,521,34979,20133,720472
191,2407,1005,72808,13703,716862
192,2506,424,22550,15570,727515
193,2505,726,42143,13293,727515
194,2508,662,40758,14299,727514
195,2501,581,19085,23243,727515
196,2507,710,53632,8357,727514
197,2502,715,27241,20417,727514
198,2503,620,28368,17131,727514
199,2504,894,49630,15649,727514
200,2509,326,13080,29549,727514
201,2609,770,47123,11550,705975
202,2606,497,17100,26110,705974
203,2604,1073,29015,37542,705974
204,2603,974,36495,20127,705974
205,2612,565,28858,12633,705974
206,2611,812,63194,11350,705974
207,2607,881,29008,24676,705974
208,2602,714,34449,23879,705975
209,2610,526,23688,22312,705974
210,2608,670,41093,15444,705975
211,2613,850,41683,14940,705974
212,2605,674,27880,21371,705975
213,2601,734,6878,74447,705974
214,2614,972,53676,13450,705974
215,26ZZ,52,0,54,0
216,2703,458,28338,11776,662990
217,2706,858,25487,21083,662990
218,2705,353,21954,11521,662991
219,2702,443,9808,16290,662991
220,2704,290,15009,12413,662990
221,2708,842,12684,59996,662991
222,2701,942,7439,45479,662991
223,2707,1335,12407,81219,662991
224,2804,492,7551,36325,741776
225,2802,1108,16406,55366,741862
226,2801,783,15126,38587,741837
227,2803,1202,21406,41500,741822
228,2908,933,11303,70208,748616
229,2903,1137,44033,37808,748615
230,2904,1390,18369,64169,748616
231,2902,764,47305,14231,748616
232,2905,854,25032,24472,748616
233,2906,1281,16842,68984,748616
234,2907,682,9413,45739,748616
235,2901,441,20434,17954,748616
236,3000,881,3420,132288,989415
237,3102,241,4022,15399,608781
238,3101,880,6441,47495,608780
239,3103,1684,3275,130458,608780
240,3202,652,2630,41038,675138
241,3203,272,21279,9690,675138
242,3201,228,38982,5955,675138
243,3204,607,25599,27855,675137
244,3301,672,26760,20915,658233
245,3302,912,30317,27922,658237
246,3407,722,36701,14958,732658
247,3412,673,39031,12031,732658
248,3405,708,40313,15192,732658
249,3411,596,46386,13037,732658
250,3403,577,18292,19115,732658
251,3410,711,63585,7582,732658
252,3406,602,41798,12754,732657
253,3402,462,15456,28683,732658
254,3401,371,17686,14951,732658
255,3404,696,38292,17061,732657
256,3409,528,39823,8873,732658
257,3408,612,55567,5351,732658
258,3501,668,14317,17339,686393
259,3503,1424,13436,78270,686393
260,3502,1169,10010,73000,686393
261,3619,1002,30644,38279,717708
262,3606,352,48652,4330,717707
263,3617,421,29387,12058,717708
264,3618,563,32242,17035,717707
265,3611,204,45391,6140,717708
266,3610,469,138806,2277,717707
267,3622,828,14974,29206,717708
268,3625,172,9247,10511,717707
269,3615,117,26657,2406,717708
270,3623,844,13359,38098,717707
271,3602,329,17205,12370,717708
272,3601,215,12041,16064,717707
273,3616,290,22965,7351,717707
274,3605,352,41120,6355,717708
275,3614,322,59071,3677,717708
276,3607,588,132837,2822,717708
277,3620,475,14917,17244,717708
278,3627,591,25534,20554,717707
279,3612,291,90579,2428,717707
280,3613,164,60153,1538,717707
281,3621,700,11277,41041,717707
282,3603,391,27200,11384,717707
283,3609,313,80072,2328,717708
284,3626,252,18566,9930,717707
285,3604,351,20260,11444,717708
286,3608,404,81760,3468,717708
287,3624,407,9797,19831,717707
288,3701,2257,101057,24578,733499
289,3702,1197,63926,20010,733499
290,3709,969,73496,12766,733498
291,3705,1396,51121,23257,733499
292,3704,1461,95190,13469,733498
293,3710,847,28102,23492,733499
294,3711,890,30763,38585,733499
295,3712,1726,114727,13597,733499
296,3703,1305,47213,28074,733499
297,3706,1652,60448,21881,733499
298,3708,899,45341,26449,733499
299,3713,1645,96146,15135,733498
300,3707,1044,42723,27694,733498
301,3800,908,4579,133769,672591
302,3911,816,63791,11058,721032
303,3904,1404,35570,35903,721032
304,3903,1048,76567,13084,721031
305,3906,1490,25532,45564,721032
306,3910,371,9942,16963,721032
307,3912,1259,48122,24446,721031
308,3901,800,65538,11050,721032
309,3914,594,42560,14333,721032
310,3907,1579,57202,36853,721031
311,3905,1077,28842,40030,721031
312,3915,1741,48410,26924,721031
313,3909,822,57119,14075,721032
314,3913,1371,65736,18966,721031
315,3916,1114,83575,13280,721031
316,3902,881,38763,19365,721031
317,3908,759,25886,23450,721032
318,4002,1353,14263,82198,750270
319,4003,1518,20446,99692,750270
320,4001,680,13916,21828,750270
321,4004,723,27139,43673,750270
322,4005,557,22621,21727,750271
323,4104,604,6172,49457,766214
324,4102,754,6384,80440,766215
325,4105,999,21512,27311,766214
326,4103,482,25727,18458,766215
327,4101,625,16961,20955,766216
328,4204,586,16633,22045,705687
329,4203,915,30347,29048,705688
330,4215,811,26478,24372,705687
331,4214,848,42402,20322,705688
332,4210,1494,31474,45327,705687
333,4206,1303,55084,16602,705688
334,4217,1244,35248,26261,705687
335,4213,902,76344,9721,705687
336,4211,1214,28080,33443,705688
337,4209,1323,24259,40903,705688
338,4218,1039,38773,21754,705688
339,4216,973,29651,17784,705688
340,4205,1152,23134,43154,705688
341,4202,552,40239,8954,705688
342,4212,1204,37690,23667,705688
343,4201,973,63431,10638,705688
344,4207,1829,109210,13815,705688
345,4208,397,22034,13735,705688
346,4402,432,16268,13727,526284
347,4401,540,22980,11454,526283
348,4505,933,25019,26768,660766
349,4507,534,10998,28369,660767
350,4506,1644,42970,35162,660766
351,4502,958,31953,23675,660766
352,4503,590,16511,28647,660767
353,4504,415,14586,17791,660766
354,4501,667,29722,21496,660766
355,4600,977,5207,88360,814180
356,4707,1264,30844,38898,705123
357,4706,865,22368,28596,705123
358,4709,363,27036,13348,705123
359,4701,623,26616,32166,705123
360,4704,1119,24975,30673,705123
361,4702,800,19276,21925,705123
362,4705,430,18365,14420,705123
363,4708,799,27474,30624,705122
364,4703,1067,28866,29466,705122
365,4835,1462,105957,12956,698488
366,4801,778,10446,32837,698488
367,4806,935,38472,18826,698498
368,4814,490,18513,27630,698472
369,4802,1117,82554,11434,698488
370,4834,1117,19228,29940,698487
371,4813,1142,7439,76101,698488
372,4827,870,16660,34286,698487
373,4836,865,26218,34165,698488
374,4803,463,20280,14623,698488
375,4808,653,43954,19111,698488
376,4816,300,11744,14089,698488
377,4821,1502,116176,20978,698488
378,4820,622,78044,8455,698488
379,4830,838,47650,14452,698487
380,4833,1424,83026,13111,698488
381,4817,809,36661,26198,698487
382,4828,1004,42623,24435,698488
383,4805,1073,43211,25589,698488
384,4811,1601,9223,63926,698488
385,4823,1531,62269,65914,698488
386,4812,912,36144,18509,698488
387,4818,1266,63518,15186,698488
388,4804,1175,21743,40247,698488
389,4826,470,24559,14805,698488
390,4832,958,51878,12488,698488
391,4831,583,20743,17468,698487
392,4824,725,49967,13216,698488
393,4807,649,65262,9870,698488
394,4822,688,44905,14657,698504
395,4825,1488,72472,28702,698478
396,4810,1328,105291,23706,698487
397,4815,1327,50491,23874,698488
398,4819,1373,2795,68620,698487
399,4809,645,53160,9937,698488
400,4829,969,49943,13890,698488
401,4904,664,24654,17751,690971
402,4901,589,4660,30356,690971
403,4902,757,13716,40454,690971
404,4903,755,13045,26845,690972
405,5000,532,6766,32580,625741
406,5108,273,31227,7512,727366
407,5111,578,79639,7466,727366
408,5102,783,37747,19324,708087
409,5105,1743,28703,48366,727365
410,5109,1527,31386,52693,727366
411,5107,811,33593,21016,727366
412,5106,1088,26103,35796,727366
413,5103,1152,53058,21005,746645
414,5101,956,44380,28909,727366
415,5110,890,55583,15531,727365
416,5104,1028,33094,28144,727366
417,5307,359,22785,11938,672457
418,5309,617,41458,11122,672460
419,5301,747,35354,17182,672444
420,5308,792,50440,20469,672463
421,5304,572,5302,30671,672456
422,5302,558,38783,13459,672454
423,5306,405,14231,22030,672448
424,5310,593,41127,12547,672455
425,5305,524,3411,34293,672455
426,5303,439,5569,21863,672448
427,5401,1227,12972,44374,615991
428,5403,1207,12800,48564,616141
429,5402,1413,21557,42280,620862
430,5506,928,22072,31740,710873
431,5501,595,25354,18758,710874
432,5507,1185,12335,65393,710873
433,5504,563,43126,9616,710873
434,5508,613,10938,32829,710873
435,5502,660,9291,27505,710874
436,5505,1044,46407,19564,710873
437,5503,1276,15102,47691,710873
438,5600,891,2703,86204,563626
